gain,model,case,CPT,NRMS
L0,Actual,PC12,CPT2,0.004801008604543722
L0,Actual,PC12,CPT3,0.0018277937178542876
L0,Actual,PC12,CPT4,0.0009655553559440097
L0,Actual,PC12,CPT5,0.000721356321302297
L0,Actual,PC12,CPT6,0.0009037869937866627
L0,Actual,PC12,CPT7,0.0010411675481033433
L0,Actual,PC12,CPT8,0.0013152088559725324
L0,Actual,PC12,CPT9,0.0013599213054784772
L0,Actual,PC12,CPT10,0.0004621384384765792
L0,Actual,PC12,CPT11,0.001866292995090569
L0,Actual,PC12,CPT12,0.0013841173274744124
L0,Actual,PC12,CPT13,0.002026617744318913
L0,Actual,PC12,CPT15,0.0016189880944058798
L0,Actual,PC12,CPT16,0.0008654647524431613
L0,Actual,PC12,GLOBAL,0.0017982514225373756
L0,Linear,PC12,CPT2,0.009095737003301366
L0,Linear,PC12,CPT3,0.002972014486003829
L0,Linear,PC12,CPT4,0.0036701526544060726
L0,Linear,PC12,CPT5,0.0025806284319857204
L0,Linear,PC12,CPT6,0.0023162749657953093
L0,Linear,PC12,CPT7,0.0025776595689561326
L0,Linear,PC12,CPT8,0.0014551983592421176
L0,Linear,PC12,CPT9,0.0045747368546506595
L0,Linear,PC12,CPT10,0.002788519512578015
L0,Linear,PC12,CPT11,0.0018709145393937573
L0,Linear,PC12,CPT12,0.0038858846032609503
L0,Linear,PC12,CPT13,0.0026549924565703533
L0,Linear,PC12,CPT15,0.003358935672985884
L0,Linear,PC12,CPT16,0.0017513417310016178
L0,Linear,PC12,GLOBAL,0.0037120468702858123
L0,Quadratic,PC12,CPT2,0.005609428107323463
L0,Quadratic,PC12,CPT3,0.0031088885806474092
L0,Quadratic,PC12,CPT4,0.0021924183148371397
L0,Quadratic,PC12,CPT5,0.0031175013430008664
L0,Quadratic,PC12,CPT6,0.0011003416756294778
L0,Quadratic,PC12,CPT7,0.0018944684665653559
L0,Quadratic,PC12,CPT8,0.002638732518743927
L0,Quadratic,PC12,CPT9,0.0019878078722771076
L0,Quadratic,PC12,CPT10,0.0013985657668402047
L0,Quadratic,PC12,CPT11,0.0020960552381252633
L0,Quadratic,PC12,CPT12,0.0023846577502506096
L0,Quadratic,PC12,CPT13,0.002451896993013439
L0,Quadratic,PC12,CPT15,0.0019968065971327402
L0,Quadratic,PC12,CPT16,0.0024581294152266494
L0,Quadratic,PC12,GLOBAL,0.002662687750679856
M0,Actual,PC12,CPT2,0.005000063758796184
M0,Actual,PC12,CPT3,0.0020705050938908866
M0,Actual,PC12,CPT4,0.00046926340438346246
M0,Actual,PC12,CPT5,0.0006613034626427899
M0,Actual,PC12,CPT6,0.0007835292117204113
M0,Actual,PC12,CPT7,0.001229077201120742
M0,Actual,PC12,CPT8,0.0012596343607100694
M0,Actual,PC12,CPT9,0.0014339934007799478
M0,Actual,PC12,CPT10,0.00044302325067174407
M0,Actual,PC12,CPT11,0.0008181501573369515
M0,Actual,PC12,CPT12,0.0013843534290649555
M0,Actual,PC12,CPT13,0.002415192103200362
M0,Actual,PC12,CPT15,0.00177936354851823
M0,Actual,PC12,CPT16,0.0011627373819133593
M0,Actual,PC12,GLOBAL,0.0018598048677979416
M0,Linear,PC12,CPT2,0.005923805208864347
M0,Linear,PC12,CPT3,0.00566959554008805
M0,Linear,PC12,CPT4,0.004897276375699305
M0,Linear,PC12,CPT5,0.0009114832048304518
M0,Linear,PC12,CPT6,0.0019155550682444897
M0,Linear,PC12,CPT7,0.0027242016973378852
M0,Linear,PC12,CPT8,0.0017919820860161314
M0,Linear,PC12,CPT9,0.004449990825249722
M0,Linear,PC12,CPT10,0.0025693475880093587
M0,Linear,PC12,CPT11,0.0022318478308976067
M0,Linear,PC12,CPT12,0.005642016725277076
M0,Linear,PC12,CPT13,0.003624627360121764
M0,Linear,PC12,CPT15,0.002011037760086251
M0,Linear,PC12,CPT16,0.002277157260284838
M0,Linear,PC12,GLOBAL,0.003710036640634774
M0,Quadratic,PC12,CPT2,0.0053958612276178465
M0,Quadratic,PC12,CPT3,0.004182864899349136
M0,Quadratic,PC12,CPT4,0.0007121162039450834
M0,Quadratic,PC12,CPT5,0.004486857368813942
M0,Quadratic,PC12,CPT6,0.0010172993645386958
M0,Quadratic,PC12,CPT7,0.0027716650897509428
M0,Quadratic,PC12,CPT8,0.003222489024915622
M0,Quadratic,PC12,CPT9,0.0032083969041701806
M0,Quadratic,PC12,CPT10,0.0014214963747188885
M0,Quadratic,PC12,CPT11,0.0021918906995107095
M0,Quadratic,PC12,CPT12,0.0016474036928956284
M0,Quadratic,PC12,CPT13,0.004266608810656956
M0,Quadratic,PC12,CPT15,0.001933497300997659
M0,Quadratic,PC12,CPT16,0.001755415477033792
M0,Quadratic,PC12,GLOBAL,0.0031102697952545876
H0,Actual,PC12,CPT2,0.006916652794528517
H0,Actual,PC12,CPT3,0.00294650567165531
H0,Actual,PC12,CPT4,0.0007865499203613632
H0,Actual,PC12,CPT5,0.0008697878838665174
H0,Actual,PC12,CPT6,0.0007956746625201522
H0,Actual,PC12,CPT7,0.001265448102420553
H0,Actual,PC12,CPT8,0.0032187984252000654
H0,Actual,PC12,CPT9,0.001891949139380246
H0,Actual,PC12,CPT10,0.00040951167086582767
H0,Actual,PC12,CPT11,0.0009085568632109759
H0,Actual,PC12,CPT12,0.0013822859865580983
H0,Actual,PC12,CPT13,0.003136851493986151
H0,Actual,PC12,CPT15,0.0018648349865048757
H0,Actual,PC12,CPT16,0.001260862564095547
H0,Actual,PC12,GLOBAL,0.0025346376112696796
H0,Linear,PC12,CPT2,0.009992463133528763
H0,Linear,PC12,CPT3,0.0036173141187478275
H0,Linear,PC12,CPT4,0.0015245189130388282
H0,Linear,PC12,CPT5,0.001848186556974325
H0,Linear,PC12,CPT6,0.0025710132570803505
H0,Linear,PC12,CPT7,0.004343719967323862
H0,Linear,PC12,CPT8,0.0032276061823886593
H0,Linear,PC12,CPT9,0.004461280525763679
H0,Linear,PC12,CPT10,0.001146133686292295
H0,Linear,PC12,CPT11,0.004444860658001661
H0,Linear,PC12,CPT12,0.004816262422849305
H0,Linear,PC12,CPT13,0.003689620621346498
H0,Linear,PC12,CPT15,0.002999387658748044
H0,Linear,PC12,CPT16,0.0023841706850675653
H0,Linear,PC12,GLOBAL,0.004206154613443603
H0,Quadratic,PC12,CPT2,0.008194269413213606
H0,Quadratic,PC12,CPT3,0.004550962442533159
H0,Quadratic,PC12,CPT4,0.0015247938893935776
H0,Quadratic,PC12,CPT5,0.0037934946019458874
H0,Quadratic,PC12,CPT6,0.0008608725316246058
H0,Quadratic,PC12,CPT7,0.0020208848276904727
H0,Quadratic,PC12,CPT8,0.0032205037706708474
H0,Quadratic,PC12,CPT9,0.0030060880107083037
H0,Quadratic,PC12,CPT10,0.0008391009233354881
H0,Quadratic,PC12,CPT11,0.0012117494591913534
H0,Quadratic,PC12,CPT12,0.0019533911392309077
H0,Quadratic,PC12,CPT13,0.003991934956621353
H0,Quadratic,PC12,CPT15,0.0021003652138466334
H0,Quadratic,PC12,CPT16,0.004020683650134599
H0,Quadratic,PC12,GLOBAL,0.0034991418487298922
L1,Actual,PC12,CPT2,0.005556548640343599
L1,Actual,PC12,CPT3,0.002282511308164519
L1,Actual,PC12,CPT4,0.004159048100887546
L1,Actual,PC12,CPT5,0.0036137759735725963
L1,Actual,PC12,CPT6,0.0028376709910956956
L1,Actual,PC12,CPT7,0.002565922877437081
L1,Actual,PC12,CPT8,0.008212178645952493
L1,Actual,PC12,CPT9,0.0020879829753452776
L1,Actual,PC12,CPT10,0.0015988702800615712
L1,Actual,PC12,CPT11,0.0035417671457152813
L1,Actual,PC12,CPT12,0.001821150725863518
L1,Actual,PC12,CPT13,0.0029027868744870276
L1,Actual,PC12,CPT15,0.0015426407902713094
L1,Actual,PC12,CPT16,0.004109314634748151
L1,Actual,PC12,GLOBAL,0.003685280041569094
L1,Linear,PC12,CPT2,0.0074372934302328175
L1,Linear,PC12,CPT3,0.0031554471929836863
L1,Linear,PC12,CPT4,0.005064654917301484
L1,Linear,PC12,CPT5,0.005441317073916132
L1,Linear,PC12,CPT6,0.006155519338647741
L1,Linear,PC12,CPT7,0.003521836997942238
L1,Linear,PC12,CPT8,0.010068660721592014
L1,Linear,PC12,CPT9,0.0029407877482821717
L1,Linear,PC12,CPT10,0.004008329403977721
L1,Linear,PC12,CPT11,0.004996733391630541
L1,Linear,PC12,CPT12,0.002819124106593721
L1,Linear,PC12,CPT13,0.0029058098049694918
L1,Linear,PC12,CPT15,0.0023572740219059904
L1,Linear,PC12,CPT16,0.004403053936247462
L1,Linear,PC12,GLOBAL,0.004999433214433834
L1,Quadratic,PC12,CPT2,0.005601498325273944
L1,Quadratic,PC12,CPT3,0.0023406316144458754
L1,Quadratic,PC12,CPT4,0.004460002915883462
L1,Quadratic,PC12,CPT5,0.0037736827350805624
L1,Quadratic,PC12,CPT6,0.004274980294938306
L1,Quadratic,PC12,CPT7,0.0029554353277728034
L1,Quadratic,PC12,CPT8,0.008770546153629545
L1,Quadratic,PC12,CPT9,0.002319903584571229
L1,Quadratic,PC12,CPT10,0.002507010794068907
L1,Quadratic,PC12,CPT11,0.003983228576058502
L1,Quadratic,PC12,CPT12,0.0018728794693863074
L1,Quadratic,PC12,CPT13,0.003170887691450215
L1,Quadratic,PC12,CPT15,0.002927805998130736
L1,Quadratic,PC12,CPT16,0.004476456817581344
L1,Quadratic,PC12,GLOBAL,0.0040852703743727795
M1,Actual,PC12,CPT2,0.005053348481724526
M1,Actual,PC12,CPT3,0.001706631243398204
M1,Actual,PC12,CPT4,0.0033824969734074905
M1,Actual,PC12,CPT5,0.003200116735321255
M1,Actual,PC12,CPT6,0.0008657851899860364
M1,Actual,PC12,CPT7,0.0027812382717267814
M1,Actual,PC12,CPT8,0.0008135463241565026
M1,Actual,PC12,CPT9,0.0016012822096507175
M1,Actual,PC12,CPT10,0.0014597998295378762
M1,Actual,PC12,CPT11,0.0015489077274888985
M1,Actual,PC12,CPT12,0.0014914117519192935
M1,Actual,PC12,CPT13,0.0028361400317353843
M1,Actual,PC12,CPT15,0.002621327846796115
M1,Actual,PC12,CPT16,0.004707602145063974
M1,Actual,PC12,GLOBAL,0.0027567392794171554
M1,Linear,PC12,CPT2,0.008412663357828698
M1,Linear,PC12,CPT3,0.00235704908255986
M1,Linear,PC12,CPT4,0.0041305174237805916
M1,Linear,PC12,CPT5,0.0034654517421916155
M1,Linear,PC12,CPT6,0.0022863334609459947
M1,Linear,PC12,CPT7,0.00726664197538826
M1,Linear,PC12,CPT8,0.0009213324469398296
M1,Linear,PC12,CPT9,0.0035136859019613627
M1,Linear,PC12,CPT10,0.0017061207559789968
M1,Linear,PC12,CPT11,0.0024919768909496755
M1,Linear,PC12,CPT12,0.004967344006729079
M1,Linear,PC12,CPT13,0.004479250457985178
M1,Linear,PC12,CPT15,0.003535271741403746
M1,Linear,PC12,CPT16,0.004808720993905516
M1,Linear,PC12,GLOBAL,0.0044599774782129314
M1,Quadratic,PC12,CPT2,0.005728310589734924
M1,Quadratic,PC12,CPT3,0.002070826614786522
M1,Quadratic,PC12,CPT4,0.0034956274824703114
M1,Quadratic,PC12,CPT5,0.003331267266775673
M1,Quadratic,PC12,CPT6,0.0012853665865421849
M1,Quadratic,PC12,CPT7,0.002786050462612895
M1,Quadratic,PC12,CPT8,0.0009049424262884125
M1,Quadratic,PC12,CPT9,0.0020582805703232665
M1,Quadratic,PC12,CPT10,0.0015286903803131025
M1,Quadratic,PC12,CPT11,0.0016203232204557779
M1,Quadratic,PC12,CPT12,0.0016778721649156766
M1,Quadratic,PC12,CPT13,0.0028370593517077895
M1,Quadratic,PC12,CPT15,0.0038257423198850052
M1,Quadratic,PC12,CPT16,0.005573661169252129
M1,Quadratic,PC12,GLOBAL,0.0031151918880718095
H1,Actual,PC12,CPT2,0.0065879809882833365
H1,Actual,PC12,CPT3,0.002213152442254923
H1,Actual,PC12,CPT4,0.0026601536784746217
H1,Actual,PC12,CPT5,0.0030650425045980244
H1,Actual,PC12,CPT6,0.0019591447537672785
H1,Actual,PC12,CPT7,0.0032246282133063095
H1,Actual,PC12,CPT8,0.004579031409472217
H1,Actual,PC12,CPT9,0.001964174491563377
H1,Actual,PC12,CPT10,0.0015600853022863879
H1,Actual,PC12,CPT11,0.002337738484115949
H1,Actual,PC12,CPT12,0.0012636001007376634
H1,Actual,PC12,CPT13,0.004087900430018448
H1,Actual,PC12,CPT15,0.0018761929066736648
H1,Actual,PC12,CPT16,0.005049661467741938
H1,Actual,PC12,GLOBAL,0.0033555491855756683
H1,Linear,PC12,CPT2,0.008750765836010662
H1,Linear,PC12,CPT3,0.00310941404366241
H1,Linear,PC12,CPT4,0.0027010484296627825
H1,Linear,PC12,CPT5,0.0034631261399324293
H1,Linear,PC12,CPT6,0.00316525395276634
H1,Linear,PC12,CPT7,0.005375495071246002
H1,Linear,PC12,CPT8,0.004595393029087121
H1,Linear,PC12,CPT9,0.003852916708375523
H1,Linear,PC12,CPT10,0.002393479039408166
H1,Linear,PC12,CPT11,0.003345891656148912
H1,Linear,PC12,CPT12,0.001962758328714871
H1,Linear,PC12,CPT13,0.004540225257199468
H1,Linear,PC12,CPT15,0.0026986104817313464
H1,Linear,PC12,CPT16,0.005970142569051304
H1,Linear,PC12,GLOBAL,0.004355762427326707
H1,Quadratic,PC12,CPT2,0.007159413353553406
H1,Quadratic,PC12,CPT3,0.002481155801875842
H1,Quadratic,PC12,CPT4,0.002796171173566695
H1,Quadratic,PC12,CPT5,0.003165625542115547
H1,Quadratic,PC12,CPT6,0.0028838011966415508
H1,Quadratic,PC12,CPT7,0.0033812550671960483
H1,Quadratic,PC12,CPT8,0.004659378881700871
H1,Quadratic,PC12,CPT9,0.00313553046168863
H1,Quadratic,PC12,CPT10,0.0020045781228910935
H1,Quadratic,PC12,CPT11,0.004340007118591116
H1,Quadratic,PC12,CPT12,0.001382341087729644
H1,Quadratic,PC12,CPT13,0.004167048844916656
H1,Quadratic,PC12,CPT15,0.0022200817861539857
H1,Quadratic,PC12,CPT16,0.005592552448653243
